truncating existing tables...
writing ground truth to data\ground_truth.json...
loading 500 titles...
loading 20000 subscribers...
loading 3 change_log rows...
generating and loading playback_events (days=56, sessions_per_day=100000)...
playback_events: batch 259 done, 12950000 rows so far, 139.6s elapsed
playback_events: batch 260 done, 13000000 rows so far, 140.2s elapsed
playback_events: batch 261 done, 13050000 rows so far, 140.8s elapsed
playback_events: batch 262 done, 13100000 rows so far, 141.4s elapsed
playback_events: batch 263 done, 13150000 rows so far, 142.1s elapsed
playback_events: batch 264 done, 13200000 rows so far, 142.7s elapsed
playback_events: batch 265 done, 13250000 rows so far, 143.4s elapsed
playback_events: batch 266 done, 13300000 rows so far, 144.0s elapsed
playback_events: batch 267 done, 13350000 rows so far, 144.6s elapsed
playback_events: batch 268 done, 13400000 rows so far, 145.1s elapsed
playback_events: batch 269 done, 13450000 rows so far, 145.7s elapsed
playback_events: batch 270 done, 13500000 rows so far, 146.2s elapsed
playback_events: batch 271 done, 13550000 rows so far, 146.7s elapsed
playback_events: batch 272 done, 13600000 rows so far, 147.2s elapsed
playback_events: batch 273 done, 13650000 rows so far, 147.7s elapsed
playback_events: batch 274 done, 13700000 rows so far, 148.3s elapsed
playback_events: batch 275 done, 13750000 rows so far, 148.8s elapsed
playback_events: batch 276 done, 13800000 rows so far, 149.4s elapsed
playback_events: batch 277 done, 13850000 rows so far, 149.9s elapsed
playback_events: batch 278 done, 13900000 rows so far, 150.5s elapsed
playback_events: batch 279 done, 13950000 rows so far, 151.1s elapsed
playback_events: batch 280 done, 14000000 rows so far, 151.6s elapsed
playback_events: batch 281 done, 14050000 rows so far, 152.1s elapsed
playback_events: batch 282 done, 14100000 rows so far, 152.7s elapsed
playback_events: batch 283 done, 14150000 rows so far, 153.3s elapsed
playback_events: batch 284 done, 14200000 rows so far, 153.9s elapsed
playback_events: batch 285 done, 14250000 rows so far, 154.5s elapsed
playback_events: batch 286 done, 14300000 rows so far, 155.1s elapsed
playback_events: batch 287 done, 14350000 rows so far, 155.7s elapsed
playback_events: batch 288 done, 14400000 rows so far, 156.2s elapsed
playback_events: batch 289 done, 14450000 rows so far, 156.7s elapsed
playback_events: batch 290 done, 14500000 rows so far, 157.2s elapsed
playback_events: batch 291 done, 14550000 rows so far, 157.8s elapsed
playback_events: batch 292 done, 14600000 rows so far, 158.3s elapsed
playback_events: batch 293 done, 14650000 rows so far, 158.8s elapsed
playback_events: batch 294 done, 14700000 rows so far, 159.3s elapsed
playback_events: batch 295 done, 14750000 rows so far, 159.9s elapsed
playback_events: batch 296 done, 14800000 rows so far, 160.5s elapsed
playback_events: batch 297 done, 14850000 rows so far, 161.0s elapsed
playback_events: batch 298 done, 14900000 rows so far, 161.5s elapsed
playback_events: batch 299 done, 14950000 rows so far, 162.0s elapsed
playback_events: batch 300 done, 15000000 rows so far, 162.6s elapsed
playback_events: batch 301 done, 15050000 rows so far, 163.1s elapsed
playback_events: batch 302 done, 15100000 rows so far, 163.6s elapsed
playback_events: batch 303 done, 15150000 rows so far, 164.1s elapsed
playback_events: batch 304 done, 15200000 rows so far, 164.6s elapsed
playback_events: batch 305 done, 15250000 rows so far, 165.2s elapsed
playback_events: batch 306 done, 15300000 rows so far, 165.8s elapsed
playback_events: batch 307 done, 15350000 rows so far, 166.4s elapsed
playback_events: batch 308 done, 15400000 rows so far, 166.9s elapsed
playback_events: batch 309 done, 15450000 rows so far, 167.4s elapsed
playback_events: batch 310 done, 15500000 rows so far, 167.9s elapsed
playback_events: batch 311 done, 15550000 rows so far, 168.5s elapsed
playback_events: batch 312 done, 15600000 rows so far, 169.0s elapsed
playback_events: batch 313 done, 15650000 rows so far, 169.5s elapsed
playback_events: batch 314 done, 15700000 rows so far, 170.0s elapsed
playback_events: batch 315 done, 15750000 rows so far, 170.5s elapsed
playback_events: batch 316 done, 15800000 rows so far, 171.1s elapsed
playback_events: batch 317 done, 15850000 rows so far, 171.7s elapsed
playback_events: batch 318 done, 15900000 rows so far, 172.2s elapsed
playback_events: batch 319 done, 15950000 rows so far, 172.7s elapsed
playback_events: batch 320 done, 16000000 rows so far, 173.2s elapsed
playback_events: batch 321 done, 16050000 rows so far, 173.7s elapsed
playback_events: batch 322 done, 16100000 rows so far, 174.2s elapsed
playback_events: batch 323 done, 16150000 rows so far, 174.7s elapsed
playback_events: batch 324 done, 16200000 rows so far, 175.3s elapsed
playback_events: batch 325 done, 16250000 rows so far, 175.8s elapsed
playback_events: batch 326 done, 16300000 rows so far, 176.4s elapsed
playback_events: batch 327 done, 16350000 rows so far, 176.9s elapsed
playback_events: batch 328 done, 16400000 rows so far, 177.4s elapsed
playback_events: batch 329 done, 16450000 rows so far, 177.9s elapsed
playback_events: batch 330 done, 16500000 rows so far, 178.4s elapsed
playback_events: batch 331 done, 16550000 rows so far, 179.0s elapsed
playback_events: batch 332 done, 16600000 rows so far, 179.4s elapsed
playback_events: batch 333 done, 16650000 rows so far, 179.9s elapsed
playback_events: batch 334 done, 16700000 rows so far, 180.3s elapsed
playback_events: batch 335 done, 16750000 rows so far, 180.8s elapsed
playback_events: batch 336 done, 16800000 rows so far, 181.3s elapsed
playback_events: batch 337 done, 16850000 rows so far, 181.7s elapsed
playback_events: batch 338 done, 16900000 rows so far, 182.2s elapsed
playback_events: batch 339 done, 16950000 rows so far, 182.6s elapsed
playback_events: batch 340 done, 17000000 rows so far, 183.1s elapsed
playback_events: batch 341 done, 17050000 rows so far, 183.6s elapsed
playback_events: batch 342 done, 17100000 rows so far, 184.1s elapsed
playback_events: batch 343 done, 17150000 rows so far, 184.6s elapsed
playback_events: batch 344 done, 17200000 rows so far, 185.0s elapsed
playback_events: batch 345 done, 17250000 rows so far, 185.5s elapsed
playback_events: batch 346 done, 17300000 rows so far, 186.0s elapsed
playback_events: batch 347 done, 17350000 rows so far, 186.6s elapsed
playback_events: batch 348 done, 17400000 rows so far, 187.1s elapsed
